trip_id,departure_time,stop_sequence,arrival_time,timepoint,stop_id
1004019,16.07.00,15,16.07.00,0,14
1004019,16.09.00,16,16.09.00,0,13
1004019,16.10.00,17,16.10.00,0,12
1004019,16.12.00,18,16.12.00,0,11
1004019,16.14.00,19,16.14.00,0,10
1004019,16.17.00,20,16.17.00,0,9
1004019,16.21.00,21,16.21.00,0,8
1004019,16.25.00,22,16.25.00,0,7
1004019,16.27.00,23,16.27.00,0,6
1004019,16.31.00,24,16.31.00,0,5
1004019,16.35.00,25,16.35.00,0,4
1004019,16.37.00,26,16.37.00,0,3
1004019,16.39.00,27,16.39.00,0,2
1004019,16.46.00,28,16.46.00,0,1
1004020,16.52.00,1,16.52.00,0,1
1004020,16.59.00,2,16.59.00,0,2
1004020,17.01.00,3,17.01.00,0,3
1004020,17.03.00,4,17.03.00,0,4
1004020,17.07.00,5,17.07.00,0,5
1004020,17.11.00,6,17.11.00,0,6
1004020,17.13.00,7,17.13.00,0,7
1004020,17.17.00,8,17.17.00,0,8
1004020,17.21.00,9,17.21.00,0,9
1004020,17.24.00,10,17.24.00,0,10
1004020,17.26.00,11,17.26.00,0,11
1004020,17.28.00,12,17.28.00,0,12
1004020,17.29.00,13,17.29.00,0,13
1004020,17.31.00,14,17.31.00,0,14
1004020,17.35.00,15,17.35.00,0,15
1004020,17.37.00,16,17.37.00,0,16
1004020,17.39.00,17,17.39.00,0,17
1004020,17.40.00,18,17.40.00,0,18
1004020,17.41.00,19,17.41.00,0,19
1004020,17.43.00,20,17.43.00,0,20
1004020,17.45.00,21,17.45.00,0,21
1004020,17.47.00,22,17.47.00,0,22
1004020,17.51.00,23,17.51.00,0,23
1004020,17.54.00,24,17.54.00,0,24
1004020,17.57.00,25,17.57.00,0,25
1004020,17.59.00,26,17.59.00,0,26
1004020,18.03.00,27,18.03.00,0,27
1004020,18.06.00,28,18.06.00,0,28
1004021,18.12.00,1,18.12.00,0,28
1004021,18.15.00,2,18.15.00,0,27
1004021,18.19.00,3,18.19.00,0,26
1004021,18.21.00,4,18.21.00,0,25
1004021,18.24.00,5,18.24.00,0,24
1004021,18.27.00,6,18.27.00,0,23
1004021,18.31.00,7,18.31.00,0,22
1004021,18.33.00,8,18.33.00,0,21
1004021,18.35.00,9,18.35.00,0,20
1004021,18.37.00,10,18.37.00,0,19
1004021,18.38.00,11,18.38.00,0,18
1004021,18.39.00,12,18.39.00,0,17
1004021,18.41.00,13,18.41.00,0,16
1004021,18.43.00,14,18.43.00,0,15
1004021,18.47.00,15,18.47.00,0,14
1004021,18.49.00,16,18.49.00,0,13
1004021,18.50.00,17,18.50.00,0,12
1004021,18.52.00,18,18.52.00,0,11
1004021,18.54.00,19,18.54.00,0,10
1004021,18.57.00,20,18.57.00,0,9
1004021,19.01.00,21,19.01.00,0,8
1004021,19.05.00,22,19.05.00,0,7
